formula_id,label_a,label_b,n_a,n_b,median_a,median_b,mean_a,mean_b,U_statistic,p_value,effect_size_r,alternative,significant_0.05
1,native,rtamt-discrete-cpp-online,50,50,0.160041,3.10364,0.16149,3.09544,0,7.06607e-18,1,two-sided,True
2,native,rtamt-discrete-cpp-online,50,50,0.475929,4.71622,0.473919,4.75548,0,7.06607e-18,1,two-sided,True
3,native,rtamt-discrete-cpp-online,50,50,6.39198,217.779,6.41335,218.382,0,7.06607e-18,1,two-sided,True
4,native,rtamt-discrete-cpp-online,50,50,0.443144,4.23297,0.446244,4.24231,0,7.06607e-18,1,two-sided,True
