formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,avg_per_sample_s,avg_per_sample_us,benchmark_kind,interval_len
4,"(x < 0.0) U[0,3400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.692816234260,0.000034640812,34.640812,general,3400
4,"(x < 0.0) U[0,3500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.708993556660,0.000035449678,35.449678,general,3500
4,"(x < 0.0) U[0,3600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.727304242460,0.000036365212,36.365212,general,3600
4,"(x < 0.0) U[0,3700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.743627638160,0.000037181382,37.181382,general,3700
4,"(x < 0.0) U[0,3800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.758929116700,0.000037946456,37.946456,general,3800
4,"(x < 0.0) U[0,3900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.774498658260,0.000038724933,38.724933,general,3900
4,"(x < 0.0) U[0,4000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.787280410020,0.000039364021,39.364021,general,4000
4,"(x < 0.0) U[0,4100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.831348367560,0.000041567418,41.567418,general,4100
4,"(x < 0.0) U[0,4200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.842349294300,0.000042117465,42.117465,general,4200
4,"(x < 0.0) U[0,4300] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.857456672480,0.000042872834,42.872834,general,4300
4,"(x < 0.0) U[0,4400] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.872703409080,0.000043635170,43.635170,general,4400
4,"(x < 0.0) U[0,4500] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.889733670880,0.000044486684,44.486684,general,4500
4,"(x < 0.0) U[0,4600] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.902661287540,0.000045133064,45.133064,general,4600
4,"(x < 0.0) U[0,4700] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.919191094060,0.000045959555,45.959555,general,4700
4,"(x < 0.0) U[0,4800] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.932368944160,0.000046618447,46.618447,general,4800
4,"(x < 0.0) U[0,4900] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.946056192480,0.000047302810,47.302810,general,4900
4,"(x < 0.0) U[0,5000] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.962077829140,0.000048103891,48.103891,general,5000
5,"G[0,1] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.002583674980,0.000000129184,0.129184,general,1
5,"G[0,100] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004107244980,0.000000205362,0.205362,general,100
5,"G[0,200] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004521786700,0.000000226089,0.226089,general,200
