formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,avg_per_sample_s,avg_per_sample_us,temporal_depth
4,"(x < 0.0) U[0,2900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.2877016225599982,1.4385081127999911e-05,14.38508112799991,2900.0
4,"(x < 0.0) U[0,3000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.29598794334000106,1.4799397167000053e-05,14.799397167000054,3000.0
4,"(x < 0.0) U[0,3100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.3041866857799937,1.5209334288999684e-05,15.209334288999685,3100.0
4,"(x < 0.0) U[0,3200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.3114108400199916,1.5570542000999578e-05,15.570542000999577,3200.0
4,"(x < 0.0) U[0,3300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.31936515494000334,1.5968257747000165e-05,15.968257747000166,3300.0
4,"(x < 0.0) U[0,3400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.32788333588001023,1.6394166794000513e-05,16.394166794000512,3400.0
4,"(x < 0.0) U[0,3500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.3328262816999995,1.6641314084999974e-05,16.641314084999973,3500.0
4,"(x < 0.0) U[0,3600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.3418801532800103,1.7094007664000517e-05,17.094007664000518,3600.0
4,"(x < 0.0) U[0,3700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.34665781580001065,1.7332890790000532e-05,17.332890790000533,3700.0
4,"(x < 0.0) U[0,3800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.35477556511998953,1.7738778255999476e-05,17.738778255999478,3800.0
4,"(x < 0.0) U[0,3900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.3603534241000079,1.8017671205000397e-05,18.017671205000397,3900.0
4,"(x < 0.0) U[0,4000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.37156378583999866,1.8578189291999932e-05,18.578189291999934,4000.0
4,"(x < 0.0) U[0,4100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.39967630674002064,1.998381533700103e-05,19.98381533700103,4100.0
4,"(x < 0.0) U[0,4200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.41381126089999726,2.0690563044999862e-05,20.690563044999863,4200.0
4,"(x < 0.0) U[0,4300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.44872936323998147,2.2436468161999073e-05,22.436468161999073,4300.0
4,"(x < 0.0) U[0,4400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.4805332492000116,2.4026662460000582e-05,24.026662460000583,4400.0
4,"(x < 0.0) U[0,4500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.5113221891200055,2.5566109456000276e-05,25.566109456000277,4500.0
4,"(x < 0.0) U[0,4600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.5141480865999847,2.5707404329999233e-05,25.707404329999232,4600.0
4,"(x < 0.0) U[0,4700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.5222593083199808,2.611296541599904e-05,26.11296541599904,4700.0
4,"(x < 0.0) U[0,4800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.5253389775200002,2.6266948876000013e-05,26.26694887600001,4800.0
4,"(x < 0.0) U[0,4900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.539793316779992,2.69896658389996e-05,26.9896658389996,4900.0
4,"(x < 0.0) U[0,5000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.546961105079995,2.7348055253999746e-05,27.348055253999746,5000.0
5,"G[0,1.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004040448340010699,2.0202241700053494e-07,0.20202241700053494,1.0
5,"G[0,100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0057655484199995045,2.882774209999752e-07,0.2882774209999752,100.0
5,"G[0,200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006193614980020357,3.0968074900101784e-07,0.30968074900101783,200.0
5,"G[0,300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.006704162419996464,3.352081209998232e-07,0.33520812099982317,300.0
5,"G[0,400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007004966659987986,3.502483329993993e-07,0.3502483329993993,400.0
5,"G[0,500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007058264900001632,3.529132450000816e-07,0.3529132450000816,500.0
5,"G[0,600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0070890425399875315,3.5445212699937657e-07,0.35445212699937656,600.0
5,"G[0,700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007113763319980535,3.5568816599902675e-07,0.35568816599902675,700.0
5,"G[0,800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007385346620017117,3.6926733100085585e-07,0.36926733100085585,800.0
5,"G[0,900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007319859099993664,3.659929549996832e-07,0.3659929549996832,900.0
5,"G[0,1000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.0074158333199920885,3.7079166599960444e-07,0.37079166599960445,1000.0
5,"G[0,1100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007507773379998071,3.7538866899990356e-07,0.3753886689999036,1100.0
5,"G[0,1200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007311946700010594,3.655973350005297e-07,0.3655973350005297,1200.0
5,"G[0,1300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007420241499976328,3.7101207499881637e-07,0.3710120749988164,1300.0
5,"G[0,1400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007401388320013211,3.7006941600066056e-07,0.37006941600066057,1400.0
5,"G[0,1500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.00733504419999008,3.66752209999504e-07,0.36675220999950403,1500.0
5,"G[0,1600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007357104139973671,3.6785520699868354e-07,0.3678552069986835,1600.0
5,"G[0,1700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007309065940003166,3.6545329700015827e-07,0.3654532970001583,1700.0
5,"G[0,1800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007202976679986932,3.601488339993466e-07,0.36014883399934655,1800.0
5,"G[0,1900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007087166740011526,3.543583370005763e-07,0.3543583370005763,1900.0
