formula_id,spec,semantics,algorithm,mode,n_samples,m_runs,avg_total_s,std_total_s,avg_per_sample_s,std_per_sample_s,avg_per_sample_us,std_per_sample_us,temporal_depth
1,(x < 0.5) and (x > -0.5),DelayedQuantitative,Incremental,online,20000,50,0.0047061707600011,0.0002105639579130823,2.35308538000055e-07,1.0528197895654116e-08,0.235308538000055,0.010528197895654116,0.0
2,"G[0,1000] (x > 0.5 -> F[0,100] (x < 0.0))",DelayedQuantitative,Incremental,online,20000,50,0.011355062499998212,0.00035420301418653507,5.677531249999106e-07,1.7710150709326754e-08,0.5677531249999106,0.017710150709326754,1100.0
4,"(G[0,100] (x < 0.5)) or (G[100,150] (x > 0.0))",DelayedQuantitative,Incremental,online,20000,50,0.010377361620000443,0.0001941201249207734,5.188680810000222e-07,9.70600624603867e-09,0.5188680810000222,0.00970600624603867,150.0
5,"(x < 0.0) U[0,1.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.007896570000001475,0.00021323174940086204,3.9482850000007375e-07,1.0661587470043102e-08,0.39482850000007375,0.010661587470043102,1.0
5,"(x < 0.0) U[0,100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.025144047420000676,0.0004561530916592613,1.2572023710000337e-06,2.2807654582963064e-08,1.2572023710000337,0.022807654582963063,100.0
5,"(x < 0.0) U[0,200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.03627811003999739,0.0009336890280204288,1.8139055019998695e-06,4.668445140102144e-08,1.8139055019998696,0.04668445140102144,200.0
5,"(x < 0.0) U[0,300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.04684511661999693,0.0010595279386350894,2.3422558309998462e-06,5.297639693175447e-08,2.342255830999846,0.052976396931754474,300.0
5,"(x < 0.0) U[0,400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.05509806083999877,0.0009763393557699775,2.7549030419999385e-06,4.8816967788498873e-08,2.7549030419999383,0.04881696778849887,400.0
5,"(x < 0.0) U[0,500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.06239476914000136,0.00109512523454877,3.119738457000068e-06,5.47562617274385e-08,3.1197384570000684,0.0547562617274385,500.0
5,"(x < 0.0) U[0,600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.07596638760000189,0.0023107807085746427,3.7983193800000946e-06,1.1553903542873214e-07,3.7983193800000947,0.11553903542873215,600.0
5,"(x < 0.0) U[0,700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.08441755249999915,0.0016514876363518825,4.220877624999957e-06,8.257438181759412e-08,4.220877624999957,0.08257438181759412,700.0
5,"(x < 0.0) U[0,800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.09340033503999962,0.0016122788892425895,4.6700167519999805e-06,8.061394446212947e-08,4.670016751999981,0.08061394446212947,800.0
5,"(x < 0.0) U[0,900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.10128442241999892,0.0023103873032076236,5.064221120999946e-06,1.1551936516038118e-07,5.064221120999946,0.11551936516038118,900.0
5,"(x < 0.0) U[0,1000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.11172347165999952,0.0018225050740145773,5.586173582999976e-06,9.112525370072887e-08,5.586173582999976,0.09112525370072887,1000.0
5,"(x < 0.0) U[0,1100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.12185305904000074,0.003885004993821762,6.092652952000037e-06,1.942502496910881e-07,6.092652952000037,0.19425024969108812,1100.0
5,"(x < 0.0) U[0,1200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.13461361081999768,0.0024119546754908716,6.730680540999884e-06,1.2059773377454357e-07,6.730680540999884,0.12059773377454357,1200.0
5,"(x < 0.0) U[0,1300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.14050318504000245,0.0046937859975754205,7.025159252000122e-06,2.3468929987877102e-07,7.0251592520001225,0.23468929987877102,1300.0
5,"(x < 0.0) U[0,1400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.15510236999999905,0.0030183357524110072,7.755118499999953e-06,1.5091678762055036e-07,7.755118499999953,0.15091678762055036,1400.0
5,"(x < 0.0) U[0,1500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.16283632905999582,0.004794641785054516,8.14181645299979e-06,2.397320892527258e-07,8.141816452999791,0.23973208925272577,1500.0
5,"(x < 0.0) U[0,1600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.17145078078000212,0.003621019789714504,8.572539039000105e-06,1.810509894857252e-07,8.572539039000105,0.1810509894857252,1600.0
5,"(x < 0.0) U[0,1700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.17698851082000033,0.005018544039614589,8.849425541000017e-06,2.5092720198072947e-07,8.849425541000016,0.2509272019807295,1700.0
5,"(x < 0.0) U[0,1800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.18766833489999668,0.003636321880192438,9.383416744999834e-06,1.818160940096219e-07,9.383416744999835,0.18181609400962193,1800.0
5,"(x < 0.0) U[0,1900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.19256965667999565,0.004357521396108989,9.628482833999782e-06,2.1787606980544945e-07,9.628482833999781,0.21787606980544946,1900.0
5,"(x < 0.0) U[0,2000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.20479145750000044,0.002919937742122965,1.0239572875000021e-05,1.4599688710614826e-07,10.239572875000022,0.14599688710614825,2000.0
5,"(x < 0.0) U[0,2100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.21012531249999938,0.005639888727567782,1.050626562499997e-05,2.819944363783891e-07,10.506265624999969,0.2819944363783891,2100.0
5,"(x < 0.0) U[0,2200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.22033291663999763,0.005860294751496131,1.1016645831999881e-05,2.9301473757480654e-07,11.016645831999881,0.29301473757480656,2200.0
5,"(x < 0.0) U[0,2300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.22997322004000353,0.0068340296440616115,1.1498661002000177e-05,3.4170148220308057e-07,11.498661002000178,0.34170148220308055,2300.0
5,"(x < 0.0) U[0,2400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.23799379003999774,0.004779818039647082,1.1899689501999887e-05,2.389909019823541e-07,11.899689501999887,0.23899090198235412,2400.0
5,"(x < 0.0) U[0,2500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.24698345659999632,0.004692463083432773,1.2349172829999816e-05,2.3462315417163865e-07,12.349172829999816,0.23462315417163865,2500.0
5,"(x < 0.0) U[0,2600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.2525709575399969,0.005884564984584077,1.2628547876999846e-05,2.9422824922920384e-07,12.628547876999846,0.2942282492292038,2600.0
5,"(x < 0.0) U[0,2700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.2597967308799991,0.005799860466798425,1.2989836543999955e-05,2.8999302333992123e-07,12.989836543999955,0.2899930233399212,2700.0
5,"(x < 0.0) U[0,2800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.2661750882999991,0.006136485018233534,1.3308754414999955e-05,3.068242509116767e-07,13.308754414999955,0.3068242509116767,2800.0
5,"(x < 0.0) U[0,2900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.2767100941599972,0.005451421576794085,1.383550470799986e-05,2.7257107883970426e-07,13.83550470799986,0.2725710788397043,2900.0
5,"(x < 0.0) U[0,3000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.27934401324000646,0.004837196316059085,1.3967200662000324e-05,2.418598158029543e-07,13.967200662000323,0.2418598158029543,3000.0
5,"(x < 0.0) U[0,3100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.2880135874999985,0.005460516232615864,1.4400679374999926e-05,2.730258116307932e-07,14.400679374999926,0.2730258116307932,3100.0
5,"(x < 0.0) U[0,3200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.2955430124400027,0.005965646257385129,1.4777150622000135e-05,2.982823128692564e-07,14.777150622000136,0.2982823128692564,3200.0
5,"(x < 0.0) U[0,3300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.2990358241399974,0.00425966959432582,1.495179120699987e-05,2.1298347971629102e-07,14.95179120699987,0.212983479716291,3300.0
5,"(x < 0.0) U[0,3400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.3123985350399971,0.00633925202194411,1.5619926751999856e-05,3.169626010972055e-07,15.619926751999856,0.31696260109720553,3400.0
5,"(x < 0.0) U[0,3500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.3165403932799984,0.006822002681627818,1.582701966399992e-05,3.4110013408139093e-07,15.82701966399992,0.34110013408139095,3500.0
5,"(x < 0.0) U[0,3600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.3224955441799943,0.007673244621886711,1.6124777208999717e-05,3.836622310943355e-07,16.124777208999717,0.3836622310943355,3600.0
5,"(x < 0.0) U[0,3700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.33050070158000155,0.008053137655815076,1.6525035079000077e-05,4.026568827907538e-07,16.525035079000077,0.4026568827907538,3700.0
5,"(x < 0.0) U[0,3800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.3337132500199982,0.006931638095264615,1.6685662500999908e-05,3.4658190476323073e-07,16.685662500999907,0.34658190476323075,3800.0
5,"(x < 0.0) U[0,3900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.3415953625000043,0.006485153108860575,1.7079768125000214e-05,3.242576554430287e-07,17.079768125000214,0.3242576554430287,3900.0
5,"(x < 0.0) U[0,4000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.34869282000001706,0.006267335656753493,1.7434641000000853e-05,3.1336678283767464e-07,17.434641000000852,0.31336678283767466,4000.0
5,"(x < 0.0) U[0,4100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.3744563609000056,0.0053826075403310995,1.872281804500028e-05,2.6913037701655496e-07,18.72281804500028,0.26913037701655496,4100.0
5,"(x < 0.0) U[0,4200.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.3944894991599972,0.026184353472161914,1.972447495799986e-05,1.3092176736080957e-06,19.72447495799986,1.3092176736080956,4200.0
5,"(x < 0.0) U[0,4300.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.4277184217199965,0.05006372003510538,2.1385921085999826e-05,2.503186001755269e-06,21.385921085999826,2.503186001755269,4300.0
5,"(x < 0.0) U[0,4400.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.437810504160002,0.04765299601495997,2.18905252080001e-05,2.3826498007479984e-06,21.8905252080001,2.3826498007479984,4400.0
5,"(x < 0.0) U[0,4500.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.4529565265000042,0.04033374749332737,2.2647826325000207e-05,2.0166873746663683e-06,22.647826325000207,2.0166873746663683,4500.0
5,"(x < 0.0) U[0,4600.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.47165298674001177,0.036531031555907104,2.3582649337000587e-05,1.8265515777953553e-06,23.582649337000586,1.8265515777953554,4600.0
5,"(x < 0.0) U[0,4700.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.4783832100799941,0.03655628446242809,2.3919160503999705e-05,1.8278142231214045e-06,23.919160503999706,1.8278142231214045,4700.0
5,"(x < 0.0) U[0,4800.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.48063113082000425,0.04023702858978784,2.4031556541000213e-05,2.011851429489392e-06,24.031556541000214,2.011851429489392,4800.0
5,"(x < 0.0) U[0,4900.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.4971156466599996,0.03195020740299671,2.485578233299998e-05,1.5975103701498353e-06,24.85578233299998,1.5975103701498354,4900.0
5,"(x < 0.0) U[0,5000.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.50923732914001,0.03225093002844191,2.5461866457000497e-05,1.6125465014220956e-06,25.461866457000497,1.6125465014220957,5000.0
6,"G[0,1.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.004383170919993518,0.00010296056011357511,2.1915854599967588e-07,5.148028005678756e-09,0.21915854599967588,0.005148028005678756,1.0
6,"G[0,100.0] (x > 0.0)",DelayedQuantitative,Incremental,online,20000,50,0.005978045759998167,0.00014679037541297344,2.9890228799990836e-07,7.339518770648672e-09,0.29890228799990837,0.007339518770648671,100.0
